	Peridinin	19'-Butanoyloxyfucoxanthin	Fucoxanthin	Neoxanthin	Prasinoxanthin	19'-keto-hexanoyloxyfucoxanthin	Violaxanthin	19'-hexanoyloxyfucoxanthin	Astaxanthin	Diadinoxanthin	Dinoxanthin	Antheraxanthin	Alloxanthin	Myxoxanthophyll	Diatoxanthin	Zeaxanthin	Lutein	Canthaxanthin	Gyroxanthin diester	Echinenone	"B,e-carotene"	"B,B-carotene"
588.5	0.000562709	0.000674395	0.000259352	0.001311141	0.00014602	0.000661732	0.000241808	-5.95705E-05	0.000277009	0.00088241	0.000576697	0.001122059	0.000248892	0.000625	0.000343541	0.000304208	0.00023709	0.00072926	0.000947746	0.000706533	-9.69798E-06	0.000833803
587.7	0.000579037	0.000691069	0.000283815	0.00130863	0.000216948	0.000742087	0.000295148	-8.45906E-05	0.000312753	0.000954496	0.000627966	0.001110094	0.000326168	0.000683556	0.000385016	0.000258671	0.000268444	0.000745135	0.000986575	0.000753063	-2.67544E-05	0.000781374
586.8	0.000618873	0.000711593	0.000300877	0.001290996	0.000201099	0.000643155	0.000244185	-4.43684E-05	0.000362988	0.000871073	0.000549092	0.00116278	0.000261744	0.000621328	0.00035485	0.00027088	0.000226501	0.00075908	0.000970611	0.00079078	-7.08582E-06	0.000815997
586.0	0.000625437	0.000684059	0.000241793	0.001311456	0.00022903	0.000714938	0.000268611	-7.7992E-05	0.000330173	0.000917184	0.000616313	0.001127916	0.00031403	0.000643383	0.000378465	0.000305357	0.000234505	0.000802811	0.000965876	0.000744657	-5.69138E-05	0.000762647
585.1	0.000619471	0.000696874	0.000250705	0.001307594	0.000210152	0.000687439	0.000281886	-3.44087E-05	0.000352823	0.000886038	0.000556009	0.001114477	0.000281163	0.000627241	0.000251006	0.000234594	0.000245488	0.000835857	0.000948473	0.000770967	-4.30532E-05	0.000791335
584.3	0.000656243	0.000682548	0.000269556	0.001318938	0.000210254	0.000667529	0.000254746	-8.76213E-05	0.000366898	0.000927076	0.000609968	0.001136511	0.000309436	0.000669822	0.000415583	0.000288152	0.000222037	0.000797395	0.000974248	0.000773008	-7.70904E-05	0.000812978
583.4	0.000646414	0.000711065	0.000285576	0.001346187	0.000243101	0.000674766	0.000240012	-2.75284E-05	0.000466095	0.000911334	0.000561348	0.001089113	0.000308108	0.000649342	0.000335133	0.000273381	0.000285829	0.000863931	0.000954274	0.000827237	-1.29047E-05	0.000799496
582.6	0.000688739	0.000735772	0.000286251	0.001343204	0.000262708	0.000679914	0.000291028	-7.67544E-05	0.00046757	0.000942223	0.000606571	0.001154887	0.00033967	0.000650749	0.00049112	0.0003298	0.000246155	0.000884854	0.001019834	0.000850297	-4.58041E-05	0.000773282
581.7	0.000681697	0.000754357	0.000267292	0.001282354	0.000245496	0.000653685	0.000265856	-3.88014E-05	0.000499161	0.000874129	0.000502077	0.001146949	0.000298522	0.000623677	0.000374811	0.000247372	0.000243954	0.000908981	0.000984775	0.00083761	1.16453E-05	0.000805965
580.9	0.000701738	0.000664162	0.000266025	0.001334518	0.000308216	0.000710329	0.00027743	-8.2361E-05	0.000497963	0.000926279	0.000602856	0.001058606	0.000328091	0.000652887	0.000470616	0.000303891	0.000230511	0.000933279	0.00101344	0.000879949	-3.8385E-06	0.000779055
580.0	0.000699895	0.000751145	0.000304655	0.001291005	0.00029338	0.00075684	0.000274245	-4.6759E-05	0.000525253	0.00089197	0.000594287	0.001126748	0.000301549	0.000672809	0.000370164	0.000244769	0.000256534	0.000993461	0.000920516	0.000939241	3.40982E-06	0.00083829
579.1	0.000768174	0.000711678	0.000300776	0.001299188	0.000322514	0.000680287	0.000284376	-4.85774E-05	0.000511316	0.000920806	0.000600655	0.001074216	0.000310245	0.000690622	0.000419634	0.000355346	0.000248351	0.001008409	0.00102106	0.000905959	-4.28294E-05	0.000802297
578.3	0.000784352	0.000691405	0.000331955	0.001323636	0.000311427	0.000669327	0.00028609	-3.48727E-05	0.000595038	0.000910888	0.000590158	0.001077809	0.000307741	0.000635655	0.000401162	0.00028414	0.00024741	0.001079337	0.001017358	0.000964518	-1.2093E-05	0.000774813
577.4	0.000768347	0.000702912	0.0003068	0.001251471	0.000383194	0.000646493	0.000243843	-7.50251E-05	0.000579583	0.000910983	0.000531219	0.001058382	0.000345812	0.000698184	0.000375003	0.000297727	0.000254125	0.001022762	0.000970165	0.000966605	-4.90958E-05	0.000835785
576.6	0.000804503	0.000710904	0.000324952	0.001256114	0.0003318	0.000725852	0.000226473	1.14308E-05	0.000674326	0.000899498	0.000593461	0.001159982	0.000325521	0.000653464	0.000327026	0.000272265	0.00026877	0.001118207	0.000939613	0.001009333	1.27046E-05	0.000828663
575.7	0.000838311	0.00074053	0.000344619	0.001244476	0.000424678	0.000748049	0.000264573	-5.18246E-05	0.000661055	0.000943436	0.000608992	0.001027333	0.000399123	0.000690257	0.000415446	0.000318136	0.000244046	0.00116381	0.001040644	0.001028219	-3.73634E-05	0.0008126
574.9	0.000847156	0.000707485	0.000372098	0.001260584	0.000368281	0.00066494	0.000286919	2.52784E-05	0.000723245	0.000889572	0.000529692	0.001120177	0.000334906	0.00066783	0.000396961	0.00027127	0.00026401	0.001209794	0.000952766	0.00105713	2.17869E-05	0.000816486
574.0	0.000899128	0.000751875	0.00034774	0.001238456	0.000425274	0.000683648	0.000267998	1.21964E-05	0.000769652	0.000912679	0.00053045	0.001116024	0.000355205	0.000736982	0.000370312	0.000310842	0.000224039	0.001221365	0.001004817	0.001065109	-4.53327E-05	0.000830681
573.2	0.000949328	0.000751808	0.000388866	0.001229668	0.000446593	0.000719272	0.000262946	1.81619E-05	0.000866521	0.00085601	0.000557245	0.001081935	0.000334863	0.000708603	0.000399576	0.000304446	0.000239882	0.001322325	0.000984304	0.00108219	3.14924E-05	0.000821638
572.3	0.000974996	0.000774603	0.000397948	0.001207338	0.000451711	0.000664453	0.000248073	-6.02253E-06	0.000875819	0.000886182	0.000519509	0.001127439	0.000352304	0.000712862	0.000431276	0.00033305	0.000245871	0.001347888	0.001020142	0.001154911	-2.96576E-06	0.000774437
571.5	0.000960534	0.000801876	0.000387879	0.001203143	0.000496305	0.000668572	0.000316621	2.98586E-05	0.000980008	0.00087259	0.000511867	0.001133983	0.000329877	0.000727803	0.000381809	0.000232866	0.000255063	0.001431981	0.000903225	0.001165553	4.55372E-05	0.000784152
570.6	0.001048108	0.000772747	0.000383075	0.001208928	0.000512645	0.000700175	0.000316774	4.89639E-05	0.000981026	0.000897378	0.000554693	0.001016863	0.000372357	0.000716787	0.000445659	0.000342511	0.000244365	0.001496527	0.001065173	0.001210111	-6.03773E-06	0.00078856
569.8	0.001076461	0.000803639	0.000439076	0.001173907	0.000567701	0.000728167	0.000265983	5.92808E-05	0.001052553	0.000860809	0.000591013	0.001109161	0.000349125	0.000740763	0.000418614	0.000286108	0.000235858	0.001605922	0.000989189	0.001238058	2.02507E-05	0.000766433
568.9	0.001107418	0.000750842	0.000473774	0.001223324	0.000649489	0.000730408	0.000251361	1.95103E-05	0.001131141	0.000936401	0.000556789	0.001090168	0.000399189	0.000766455	0.000370966	0.00033457	0.000264459	0.001604079	0.000974823	0.001366189	-2.46444E-05	0.000772203
568.1	0.001164848	0.000794436	0.000464351	0.001180688	0.000640775	0.000712587	0.000328129	9.86105E-05	0.001289212	0.000870067	0.000535311	0.00106276	0.000325629	0.000790127	0.00042902	0.000269887	0.000247608	0.001694315	0.001058696	0.001276117	2.82357E-05	0.000788176
567.2	0.001214479	0.000811	0.000511792	0.001195979	0.000663539	0.000721152	0.000237469	1.90933E-05	0.001332115	0.000934657	0.000503513	0.001103476	0.000400054	0.000828908	0.000442105	0.000303861	0.000282645	0.001754879	0.000991896	0.001397207	-1.64552E-05	0.000815895
566.3	0.001277414	0.000854342	0.000516853	0.001129305	0.000689688	0.000776468	0.000309742	7.38174E-05	0.001438939	0.000813584	0.000505824	0.001106058	0.000356027	0.000778273	0.000374853	0.000271741	0.000240571	0.001915035	0.001033085	0.001480724	7.60333E-05	0.000740917
565.5	0.001315837	0.000828591	0.000536842	0.001189612	0.000715598	0.000772128	0.00031136	7.11791E-05	0.001507953	0.00087809	0.000619649	0.001046062	0.000370207	0.000841057	0.000470138	0.000296745	0.000275287	0.002018621	0.001068528	0.001481621	-4.01903E-06	0.000776245
564.6	0.001366044	0.000834554	0.000592945	0.001202648	0.000739623	0.000786873	0.000196406	8.88645E-05	0.001631596	0.000896386	0.000527228	0.001178408	0.000382611	0.000847835	0.000466655	0.000263469	0.00029356	0.002110788	0.001023958	0.001583323	9.85882E-05	0.000766733
